model_family,adapter,dataset,type,force,blocked
Llama-2-7b-hf,all,Malicious,Declarative,Question,99.67
Llama-2-7b-hf,all,Malicious,Declarative,Request,99.67
Llama-2-7b-hf,all,Malicious,Declarative,Threat,87.0
Llama-2-7b-hf,all,Malicious,Imperative,Request,97.0
Llama-2-7b-hf,all,Malicious,Imperative,Threat,99.0
Llama-2-7b-hf,all,Malicious,Interrogative,Question,94.33
Llama-2-7b-hf,all,Malicious,Interrogative,Request,97.33
Llama-2-7b-hf,all,Malicious,Interrogative,Threat,96.33
Llama-2-7b-hf,all,XSTest,Declarative,Question,93.67
Llama-2-7b-hf,all,XSTest,Declarative,Request,93.67
Llama-2-7b-hf,all,XSTest,Declarative,Threat,81.0
Llama-2-7b-hf,all,XSTest,Imperative,Request,83.67
Llama-2-7b-hf,all,XSTest,Imperative,Threat,90.0
Llama-2-7b-hf,all,XSTest,Interrogative,Question,78.33
Llama-2-7b-hf,all,XSTest,Interrogative,Request,93.0
Llama-2-7b-hf,all,XSTest,Interrogative,Threat,92.67
Llama-2-7b-hf,base,Malicious,Declarative,Question,0.33
Llama-2-7b-hf,base,Malicious,Declarative,Request,0.0
Llama-2-7b-hf,base,Malicious,Declarative,Threat,14.33
Llama-2-7b-hf,base,Malicious,Imperative,Request,0.0
Llama-2-7b-hf,base,Malicious,Imperative,Threat,12.0
Llama-2-7b-hf,base,Malicious,Interrogative,Question,0.0
Llama-2-7b-hf,base,Malicious,Interrogative,Request,0.0
Llama-2-7b-hf,base,Malicious,Interrogative,Threat,12.33
Llama-2-7b-hf,base,XSTest,Declarative,Question,0.0
Llama-2-7b-hf,base,XSTest,Declarative,Request,0.0
Llama-2-7b-hf,base,XSTest,Declarative,Threat,13.67
Llama-2-7b-hf,base,XSTest,Imperative,Request,0.0
Llama-2-7b-hf,base,XSTest,Imperative,Threat,3.67
Llama-2-7b-hf,base,XSTest,Interrogative,Question,0.0
Llama-2-7b-hf,base,XSTest,Interrogative,Request,0.0
Llama-2-7b-hf,base,XSTest,Interrogative,Threat,5.67
Llama-2-7b-hf,dec,Malicious,Declarative,Question,99.0
Llama-2-7b-hf,dec,Malicious,Declarative,Request,99.33
Llama-2-7b-hf,dec,Malicious,Declarative,Threat,97.0
Llama-2-7b-hf,dec,Malicious,Imperative,Request,76.0
Llama-2-7b-hf,dec,Malicious,Imperative,Threat,96.33
Llama-2-7b-hf,dec,Malicious,Interrogative,Question,83.67
Llama-2-7b-hf,dec,Malicious,Interrogative,Request,96.0
Llama-2-7b-hf,dec,Malicious,Interrogative,Threat,98.33
Llama-2-7b-hf,dec,XSTest,Declarative,Question,96.33
Llama-2-7b-hf,dec,XSTest,Declarative,Request,94.67
Llama-2-7b-hf,dec,XSTest,Declarative,Threat,95.0
Llama-2-7b-hf,dec,XSTest,Imperative,Request,45.67
Llama-2-7b-hf,dec,XSTest,Imperative,Threat,92.0
Llama-2-7b-hf,dec,XSTest,Interrogative,Question,34.67
Llama-2-7b-hf,dec,XSTest,Interrogative,Request,83.33
Llama-2-7b-hf,dec,XSTest,Interrogative,Threat,94.33
Llama-2-7b-hf,imp,Malicious,Declarative,Question,98.67
Llama-2-7b-hf,imp,Malicious,Declarative,Request,99.67
Llama-2-7b-hf,imp,Malicious,Declarative,Threat,92.33
Llama-2-7b-hf,imp,Malicious,Imperative,Request,97.33
Llama-2-7b-hf,imp,Malicious,Imperative,Threat,98.67
Llama-2-7b-hf,imp,Malicious,Interrogative,Question,95.0
Llama-2-7b-hf,imp,Malicious,Interrogative,Request,98.33
Llama-2-7b-hf,imp,Malicious,Interrogative,Threat,99.0
Llama-2-7b-hf,imp,XSTest,Declarative,Question,77.0
Llama-2-7b-hf,imp,XSTest,Declarative,Request,79.67
Llama-2-7b-hf,imp,XSTest,Declarative,Threat,83.67
Llama-2-7b-hf,imp,XSTest,Imperative,Request,78.33
Llama-2-7b-hf,imp,XSTest,Imperative,Threat,87.67
Llama-2-7b-hf,imp,XSTest,Interrogative,Question,51.33
Llama-2-7b-hf,imp,XSTest,Interrogative,Request,75.33
Llama-2-7b-hf,imp,XSTest,Interrogative,Threat,97.33
Llama-2-7b-hf,int,Malicious,Declarative,Question,99.67
Llama-2-7b-hf,int,Malicious,Declarative,Request,100.0
Llama-2-7b-hf,int,Malicious,Declarative,Threat,97.33
Llama-2-7b-hf,int,Malicious,Imperative,Request,95.67
Llama-2-7b-hf,int,Malicious,Imperative,Threat,99.33
Llama-2-7b-hf,int,Malicious,Interrogative,Question,98.67
Llama-2-7b-hf,int,Malicious,Interrogative,Request,100.0
Llama-2-7b-hf,int,Malicious,Interrogative,Threat,99.0
Llama-2-7b-hf,int,XSTest,Declarative,Question,88.67
Llama-2-7b-hf,int,XSTest,Declarative,Request,88.33
Llama-2-7b-hf,int,XSTest,Declarative,Threat,93.67
Llama-2-7b-hf,int,XSTest,Imperative,Request,69.33
Llama-2-7b-hf,int,XSTest,Imperative,Threat,95.67
Llama-2-7b-hf,int,XSTest,Interrogative,Question,86.0
Llama-2-7b-hf,int,XSTest,Interrogative,Request,94.0
Llama-2-7b-hf,int,XSTest,Interrogative,Threat,98.67
Mistral-7B-v0.1,all,Malicious,Declarative,Question,99.67
Mistral-7B-v0.1,all,Malicious,Declarative,Request,99.67
Mistral-7B-v0.1,all,Malicious,Declarative,Threat,87.0
Mistral-7B-v0.1,all,Malicious,Imperative,Request,97.0
Mistral-7B-v0.1,all,Malicious,Imperative,Threat,99.0
Mistral-7B-v0.1,all,Malicious,Interrogative,Question,94.33
Mistral-7B-v0.1,all,Malicious,Interrogative,Request,97.33
Mistral-7B-v0.1,all,Malicious,Interrogative,Threat,96.33
Mistral-7B-v0.1,all,XSTest,Declarative,Question,93.67
Mistral-7B-v0.1,all,XSTest,Declarative,Request,93.67
Mistral-7B-v0.1,all,XSTest,Declarative,Threat,81.0
Mistral-7B-v0.1,all,XSTest,Imperative,Request,83.67
Mistral-7B-v0.1,all,XSTest,Imperative,Threat,90.0
Mistral-7B-v0.1,all,XSTest,Interrogative,Question,78.33
Mistral-7B-v0.1,all,XSTest,Interrogative,Request,93.0
Mistral-7B-v0.1,all,XSTest,Interrogative,Threat,92.67
Mistral-7B-v0.1,base,Malicious,Declarative,Question,0.33
Mistral-7B-v0.1,base,Malicious,Declarative,Request,0.0
Mistral-7B-v0.1,base,Malicious,Declarative,Threat,14.33
Mistral-7B-v0.1,base,Malicious,Imperative,Request,0.0
Mistral-7B-v0.1,base,Malicious,Imperative,Threat,12.0
Mistral-7B-v0.1,base,Malicious,Interrogative,Question,0.0
Mistral-7B-v0.1,base,Malicious,Interrogative,Request,0.0
Mistral-7B-v0.1,base,Malicious,Interrogative,Threat,12.33
Mistral-7B-v0.1,base,XSTest,Declarative,Question,0.0
Mistral-7B-v0.1,base,XSTest,Declarative,Request,0.0
Mistral-7B-v0.1,base,XSTest,Declarative,Threat,13.67
Mistral-7B-v0.1,base,XSTest,Imperative,Request,0.0
Mistral-7B-v0.1,base,XSTest,Imperative,Threat,3.67
Mistral-7B-v0.1,base,XSTest,Interrogative,Question,0.0
Mistral-7B-v0.1,base,XSTest,Interrogative,Request,0.0
Mistral-7B-v0.1,base,XSTest,Interrogative,Threat,5.67
Mistral-7B-v0.1,dec,Malicious,Declarative,Question,99.0
Mistral-7B-v0.1,dec,Malicious,Declarative,Request,99.33
Mistral-7B-v0.1,dec,Malicious,Declarative,Threat,97.0
Mistral-7B-v0.1,dec,Malicious,Imperative,Request,76.0
Mistral-7B-v0.1,dec,Malicious,Imperative,Threat,96.33
Mistral-7B-v0.1,dec,Malicious,Interrogative,Question,83.67
Mistral-7B-v0.1,dec,Malicious,Interrogative,Request,96.0
Mistral-7B-v0.1,dec,Malicious,Interrogative,Threat,98.33
Mistral-7B-v0.1,dec,XSTest,Declarative,Question,96.33
Mistral-7B-v0.1,dec,XSTest,Declarative,Request,94.67
Mistral-7B-v0.1,dec,XSTest,Declarative,Threat,95.0
Mistral-7B-v0.1,dec,XSTest,Imperative,Request,45.67
Mistral-7B-v0.1,dec,XSTest,Imperative,Threat,92.0
Mistral-7B-v0.1,dec,XSTest,Interrogative,Question,34.67
Mistral-7B-v0.1,dec,XSTest,Interrogative,Request,83.33
Mistral-7B-v0.1,dec,XSTest,Interrogative,Threat,94.33
Mistral-7B-v0.1,imp,Malicious,Declarative,Question,98.67
Mistral-7B-v0.1,imp,Malicious,Declarative,Request,99.67
Mistral-7B-v0.1,imp,Malicious,Declarative,Threat,92.33
Mistral-7B-v0.1,imp,Malicious,Imperative,Request,97.33
Mistral-7B-v0.1,imp,Malicious,Imperative,Threat,98.67
Mistral-7B-v0.1,imp,Malicious,Interrogative,Question,95.0
Mistral-7B-v0.1,imp,Malicious,Interrogative,Request,98.33
Mistral-7B-v0.1,imp,Malicious,Interrogative,Threat,99.0
Mistral-7B-v0.1,imp,XSTest,Declarative,Question,77.0
Mistral-7B-v0.1,imp,XSTest,Declarative,Request,79.67
Mistral-7B-v0.1,imp,XSTest,Declarative,Threat,83.67
Mistral-7B-v0.1,imp,XSTest,Imperative,Request,78.33
Mistral-7B-v0.1,imp,XSTest,Imperative,Threat,87.67
Mistral-7B-v0.1,imp,XSTest,Interrogative,Question,51.33
Mistral-7B-v0.1,imp,XSTest,Interrogative,Request,75.33
Mistral-7B-v0.1,imp,XSTest,Interrogative,Threat,97.33
Mistral-7B-v0.1,int,Malicious,Declarative,Question,99.67
Mistral-7B-v0.1,int,Malicious,Declarative,Request,100.0
Mistral-7B-v0.1,int,Malicious,Declarative,Threat,97.33
Mistral-7B-v0.1,int,Malicious,Imperative,Request,95.67
Mistral-7B-v0.1,int,Malicious,Imperative,Threat,99.33
Mistral-7B-v0.1,int,Malicious,Interrogative,Question,98.67
Mistral-7B-v0.1,int,Malicious,Interrogative,Request,100.0
Mistral-7B-v0.1,int,Malicious,Interrogative,Threat,99.0
Mistral-7B-v0.1,int,XSTest,Declarative,Question,88.67
Mistral-7B-v0.1,int,XSTest,Declarative,Request,88.33
Mistral-7B-v0.1,int,XSTest,Declarative,Threat,93.67
Mistral-7B-v0.1,int,XSTest,Imperative,Request,69.33
Mistral-7B-v0.1,int,XSTest,Imperative,Threat,95.67
Mistral-7B-v0.1,int,XSTest,Interrogative,Question,86.0
Mistral-7B-v0.1,int,XSTest,Interrogative,Request,94.0
Mistral-7B-v0.1,int,XSTest,Interrogative,Threat,98.67
